prize1_pre_3digits,prize2_pre_3digits,prize1_sub_3digits,prize2_sub_3digits,prize_2digits
34,304,539,632,69
195,517,763,802,24
156,472,662,845,7
328,485,643,879,2
394,508,725,765,76
503,695,739,764,56
85,586,949,997,37
225,430,456,971,57
66,370,707,943,4
434,715,748,856,55
88,167,769,820,92
414,621,859,956,40
109,116,434,895,14
107,611,873,974,64
363,538,887,902,19
461,713,773,925,49
275,339,600,976,74
81,392,431,694,52
670,110,626,70,48
58,287,303,827,15
89,291,806,995,82
532,218,294,145,14
588,900,717,217,10
848,864,86,602,11
767,282,171,250,50
546,985,296,364,34
922,606,395,550,75
920,310,983,490,80
80,55,507,437,61
99,294,543,980,64
378,800,952,31,28
877,407,61,600,49
350,903,773,400,45
380,292,147,356,85
305,673,275,155,47
63,245,437,89,13
35,778,515,358,36
357,985,763,600,31
605,313,267,555,91
933,170,664,454,56
304,44,381,494,10
407,818,606,46,90
372,133,607,276,39
70,618,436,690,26
230,860,806,933,5
474,365,290,952,52
120,155,378,87,57
463,665,930,881,18
397,237,739,656,43
190,689,761,946,29
771,311,832,592,57
810,981,705,716,16
174,929,35,226,56
740,979,287,422,20
362,131,273,950,63
18,511,535,477,99
9,460,71,326,65
817,250,627,416,63
631,916,618,181,91
109,926,94,597,85
640,950,269,847,82
61,263,540,301,3
131,686,143,656,30
952,896,999,999,79
978,723,324,293,14
855,882,570,141,3
468,750,304,467,28
287,215,167,234,80
893,268,283,734,46
261,237,275,861,33
696,333,371,111,65
688,64,303,994,98
138,349,343,4,3
152,987,1,211,67
917,422,859,742,63
606,177,951,340,8
843,74,884,870,16
686,3,715,134,45
394,432,67,859,35
713,471,858,670,92
89,418,606,415,63
645,612,927,479,58
456,91,404,782,41
361,48,735,752,69
186,543,854,976,13
778,694,921,983,50
306,175,498,560,55
115,75,944,200,58
480,763,785,794,20
81,316,44,239,29
461,935,755,695,74
306,236,728,470,18
782,584,401,311,65
316,42,551,60,96
724,464,644,677,91
15,1,771,862,22
12,401,904,935,52
76,101,606,317,65
235,316,219,533,19
14,649,781,530,67
984,258,981,950,63
202,946,143,325,72
202,153,705,664,17
454,563,882,786,66
260,852,943,506,79
867,285,127,562,74
460,234,356,213,69
381,685,788,941,48
425,185,833,792,34
44,327,977,788,65
975,762,142,408,71
392,982,677,168,86
536,573,730,38,99
830,877,283,64,39
280,356,459,125,98
209,639,476,693,24
251,335,687,935,93
132,319,658,743,59
235,957,596,569,30
797,145,414,440,31
982,623,750,944,67
909,620,412,92,11
635,769,982,504,61
507,918,784,60,24
510,621,896,769,52
25,656,56,728,38
654,165,279,85,92
426,162,330,15,52
444,822,705,214,36
148,414,791,364,98
716,247,533,315,94
402,771,703,79,57
612,257,20,381,47
879,314,158,584,29
381,755,608,438,44
822,365,920,566,66
168,349,580,577,21
290,432,255,964,24
32,270,865,324,13
89,166,544,481,97
889,818,976,400,59
392,666,927,501,2
389,932,609,875,19
646,650,833,669,61
771,547,281,10,91
666,293,94,543,76
649,113,735,916,21
422,126,961,534,81
324,443,718,523,75
175,234,661,978,54
435,222,155,52,77
701,338,839,278,90
673,798,694,523,27
760,664,443,945,72
977,664,428,779,49
906,705,549,994,26
882,444,661,971,21
748,456,145,928,4
732,540,639,64,68
516,427,387,73,74
73,883,776,756,85
962,564,194,393,7
924,192,716,233,86
139,819,88,296,76
558,297,582,802,51
693,672,255,644,83
235,455,618,342,51
70,274,669,293,59
571,85,303,758,96
423,940,667,379,19
672,785,507,393,82
374,735,168,688,17
460,597,514,488,55
304,686,268,273,88
560,968,681,276,99
254,926,674,978,6
225,44,91,220,67
34,19,22,152,71
828,597,452,126,95
195,87,805,574,48
186,667,253,22,40
122,809,559,947,90
571,509,794,329,78
900,975,382,703,79
